"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-let-7a-5p hsa-let-7a-1",213190,59646,34140,51347,298534,165362,32839,431610,240904,157360,36873,200993,658133,68436,333166,199454,166497,483250,132621,727832,84310,21515,310541,323315,47124,125569,155883,40617,126961,235425,49958,120187,71177,57849,287251,110262,169317,325921,277476,16981,32050,169774,162781
"hsa-let-7a-5p hsa-let-7a-2",212480,59768,34114,51446,298084,165079,32925,431271,240474,157190,36875,200669,657658,68330,332524,199262,166393,484225,132211,728751,84423,21553,310159,322931,47043,125215,155618,40559,126810,235350,50071,119753,71179,57746,286281,110155,168794,325667,277166,16880,32087,169514,162867
"hsa-let-7a-5p hsa-let-7a-3",212504,59658,34151,51408,298350,165353,32905,431398,240792,157257,36873,200992,657802,68387,332955,199488,166512,483503,132414,728448,84466,21540,310131,323078,47046,125356,155911,40581,126761,235486,50088,120109,71178,57834,286437,110206,168839,325787,277341,16905,32160,169626,162878
"hsa-let-7b-5p hsa-let-7b",246315,221451,162469,231618,271669,327296,70108,642320,269504,170372,75546,253540,414037,102987,678720,735677,139653,261225,248409,668615,272893,139465,433389,165606,203321,390192,191840,44697,355781,658301,223679,335343,207626,147883,298359,457485,283266,322136,355962,39066,74820,244686,465188
"hsa-let-7c-5p hsa-let-7c",21192,2899,9210,2782,42748,31875,1788,121526,78592,41135,2367,26631,78004,8479,79036,38987,26652,6991,28220,12739,3718,1673,8983,51361,12556,21646,24754,8063,16811,165128,1715,26766,3180,11487,47914,17419,32178,68349,46192,2178,1321,43740,8083
"hsa-let-7d-5p hsa-let-7d",46992,15409,21754,7735,69529,42032,4340,91459,51773,38415,5500,43726,102972,14404,61802,38064,35498,89303,35953,151130,18056,3791,72885,52786,7550,21665,45897,7060,37767,55797,16854,26266,19299,28276,60249,15967,43804,66992,56654,6702,8037,49499,32178
"hsa-let-7e-5p hsa-let-7e",3702,1875,765,612,4882,6853,555,4651,4866,1591,682,7451,4124,992,7361,2509,1414,3475,3286,11286,2517,589,3498,2469,711,5465,2087,283,5963,1154,1685,7569,1152,1532,6154,1788,3058,2734,2298,362,372,3221,2293
"hsa-let-7f-5p hsa-let-7f-1",88735,11228,6298,9640,89506,36779,10592,99624,82181,57938,9045,48043,222334,14708,64327,32403,60790,293511,29897,226099,13385,4480,81968,124115,8977,27225,43718,14622,31136,25662,7211,20376,18816,9129,104144,23311,57667,99224,61001,2548,7436,43254,35474
"hsa-let-7f-5p hsa-let-7f-2",90504,11183,6055,9637,91208,36852,10563,99780,83704,58662,9045,49027,222550,14609,64220,31904,62333,293376,30104,226174,13307,4463,82372,125867,9199,27274,43667,14716,31401,25637,7149,20228,18737,8973,105783,23329,58695,99971,60984,2436,7434,43642,35338
"hsa-let-7g-5p hsa-let-7g",85408,22035,27342,14410,60112,30052,13138,104392,53285,58469,12734,32560,178500,15239,54661,45253,46342,202199,38627,207274,18253,6019,101347,94764,12998,34438,74936,15108,44651,22537,12721,20354,26717,22033,106902,32023,99185,88362,62081,5546,14634,46166,64641
"hsa-let-7i-5p hsa-let-7i",102759,31873,79210,13543,90987,35454,21560,135314,95143,88058,17890,37813,159499,15060,68088,58500,60910,198590,55001,215405,34558,9328,110020,70550,20324,54973,71168,12238,87232,105181,24456,39839,37279,36712,121892,53656,103484,95881,61500,12233,17844,63875,74173
"hsa-miR-1-5p hsa-mir-1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100-5p hsa-mir-100",3360,5086,366,848,786,668,5825,1775,1608,1484,1185,3127,2075,449,1756,4107,6807,2345,1178,3781,6700,2677,1860,1403,1923,19699,1808,179,4803,3144,783,94,427,369,1506,4442,661,4404,1435,144,633,976,3177
"hsa-miR-101-5p hsa-mir-101-1",0,39,0,0,0,0,1,0,0,0,0,0,10,0,0,26,0,0,0,0,0,3,0,0,9,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,18
"hsa-miR-101-2-5p hsa-mir-101-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-10226 hsa-mir-10226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p hsa-mir-10392",0,2,0,6,9,0,0,27,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,61,0,0,9,0,0,22,0,0,0,23,23
"hsa-miR-10393-5p hsa-mir-10393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-10393-3p hsa-mir-10393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10394-5p hsa-mir-10394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10395-5p hsa-mir-10395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p hsa-mir-10396a",0,0,2,0,0,8,0,0,27,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p hsa-mir-10396a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-5p hsa-mir-10396b",0,0,2,0,0,8,0,0,27,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0
"hsa-miR-10396b-3p hsa-mir-10396b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-5p hsa-mir-10397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10398-5p hsa-mir-10398",0,17,0,0,0,0,0,0,0,0,0,0,7,0,33,0,0,5,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"hsa-miR-10398-3p hsa-mir-10398",0,15,0,0,0,0,1,15,0,0,0,0,0,1,0,11,0,13,0,0,0,0,0,0,0,0,13,0,0,4,35,0,0,0,0,9,0,0,0,10,0,0,0
"hsa-miR-10399-5p hsa-mir-10399",0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10399-3p hsa-mir-10399",350,695,156,30,569,385,183,535,350,656,63,431,269,132,305,575,610,1028,728,2249,368,178,293,345,87,554,511,16,741,232,582,233,435,357,465,584,442,488,371,89,178,327,283
"hsa-miR-103a-1-5p hsa-mir-103a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p hsa-mir-103a-2",64,33,0,19,11,0,14,23,0,1,0,0,25,7,34,18,0,35,0,27,51,1,34,20,24,65,0,0,50,23,0,0,0,0,0,113,0,29,0,0,23,27,3
"hsa-miR-103b hsa-mir-103b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b hsa-mir-103b-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10400-5p hsa-mir-10400",0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"hsa-miR-10400-3p hsa-mir-10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p hsa-mir-10401",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-3p hsa-mir-10401",51,87,40,116,40,345,38,1,231,75,0,31,152,132,230,59,132,50,53,253,301,182,366,115,192,179,181,7,148,380,169,1,263,67,17,280,85,18,88,9,72,41,156
"hsa-miR-105-5p hsa-mir-105-1",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,6,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"hsa-miR-105-5p hsa-mir-105-2",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,6,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"hsa-miR-10522-5p hsa-mir-10522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10523-5p hsa-mir-10523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10524-5p hsa-mir-10524",0,30,0,0,0,0,0,24,0,15,0,0,0,10,51,35,0,0,0,0,11,1,3,0,0,16,6,0,17,0,0,0,0,0,0,51,3,15,0,0,0,45,25
"hsa-miR-10525-3p hsa-mir-10525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10526-3p hsa-mir-10526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"hsa-miR-10527-5p hsa-mir-10527",177,80,66,0,250,182,33,484,309,219,1,156,249,38,223,54,145,451,119,525,100,1,100,65,64,128,261,25,172,410,40,0,88,130,327,165,202,256,177,35,65,241,98
"hsa-miR-106a-5p hsa-mir-106a",15,2,21,22,16,0,2,0,0,0,0,1,68,0,1,33,0,28,1,1,7,7,0,31,12,0,19,0,59,0,0,0,0,0,18,51,0,8,13,0,1,58,19
"hsa-miR-106b-5p hsa-mir-106b",111,133,0,16,14,16,100,40,24,53,0,56,76,16,31,74,93,187,38,59,129,123,69,21,43,95,1,0,255,17,0,0,0,76,38,235,48,146,35,0,0,40,259
"hsa-miR-10a-5p hsa-mir-10a",2563,1479,246,893,2094,3616,2661,1439,9966,1835,922,2806,3045,550,6639,2161,5942,8951,1685,8961,1219,593,7071,4080,2251,3143,1693,768,2603,735,1597,377,1152,312,5348,1687,2621,10801,3076,106,472,2207,5824
"hsa-miR-10b-5p hsa-mir-10b",2751,1544,98,545,841,3581,2288,337,4167,588,525,1870,1687,212,4766,1328,3428,4546,1729,4975,984,843,3691,3037,2270,2162,975,224,1148,373,435,236,643,244,2920,1197,1194,12438,1902,75,717,950,4293
"hsa-miR-11181-5p hsa-mir-11181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11181-3p hsa-mir-11181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11399 hsa-mir-11399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11400 hsa-mir-11400",292,103,30,98,533,440,123,917,482,297,1,757,112,63,372,244,686,172,125,1587,701,98,439,401,77,284,213,15,587,106,175,269,70,246,196,546,1073,186,283,27,94,574,148
"hsa-miR-11401 hsa-mir-11401",0,0,0,0,13,0,0,0,18,0,0,0,8,0,0,85,0,0,0,0,29,0,29,13,0,1,15,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,18
"hsa-miR-1178-5p hsa-mir-1178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179 hsa-mir-1179",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,33,0,0,0,0,0,0,44,0,0,0,0,0,0,5
"hsa-miR-1180-5p hsa-mir-1180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181 hsa-mir-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-5p hsa-mir-1185-1",0,1,0,0,0,25,5,0,25,7,0,0,0,0,0,0,0,27,0,19,0,1,12,0,0,10,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2
"hsa-miR-1185-5p hsa-mir-1185-2",0,1,0,0,0,25,5,0,25,7,0,0,0,0,0,0,0,27,0,19,0,1,12,0,0,10,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2
"hsa-miR-1193 hsa-mir-1193",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1199-5p hsa-mir-1199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1200 hsa-mir-1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202 hsa-mir-1202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1203 hsa-mir-1203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1204 hsa-mir-1204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1205 hsa-mir-1205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1206 hsa-mir-1206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p hsa-mir-1207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208 hsa-mir-1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12113 hsa-mir-12113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12114 hsa-mir-12114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"hsa-miR-12115 hsa-mir-12115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12116 hsa-mir-12116",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12117 hsa-mir-12117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12118 hsa-mir-12118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12119 hsa-mir-12119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12120 hsa-mir-12120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12121 hsa-mir-12121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12122 hsa-mir-12122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12123 hsa-mir-12123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12136 hsa-mir-12136",154,237,93,106,318,148,74,270,42,164,1,168,63,320,19,203,10,95,54,425,142,302,238,313,420,47,340,162,249,135,175,150,17,95,126,213,46,291,124,350,122,160,219
"hsa-miR-122-5p hsa-mir-122",510463,91368,95174,112926,100381,32292,14651,32664,133639,281939,50230,823100,161557,23990,107926,17267,846214,153716,15636,795239,112827,36811,865159,161156,643924,17395,212202,140913,59288,354123,227291,41941,27630,27675,69856,293208,11843,164258,137003,16135,13864,31639,150951
"hsa-miR-1224-5p hsa-mir-1224",0,1,29,0,0,1,1,86,2,0,0,0,0,0,0,137,1,0,0,22,11,40,0,10,25,0,0,0,28,69,0,0,0,0,7,59,7,11,0,9,35,0,99
"hsa-miR-1225-5p hsa-mir-1225",0,0,0,0,0,0,0,0,30,0,0,0,0,15,0,0,0,0,15,0,0,1,0,0,18,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
"hsa-miR-1226-5p hsa-mir-1226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,44
"hsa-miR-1227-5p hsa-mir-1227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1228-5p hsa-mir-1228",140,201,280,792,328,441,92,270,408,244,1,312,77,30,973,500,290,172,146,434,263,3774,549,158,2173,308,239,168,840,431,758,105,179,72,362,321,74,99,195,318,47,160,1198
"hsa-miR-1229-5p hsa-mir-1229",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,8,0,0,20,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122b-5p hsa-mir-122b",63,14,27,21,0,0,0,0,0,14,0,73,14,0,0,0,77,0,0,62,0,6,11,17,100,0,24,7,0,67,0,1,1,0,0,0,0,0,0,13,0,0,50
"hsa-miR-1231 hsa-mir-1231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1233-5p hsa-mir-1233-1",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1233-5p hsa-mir-1233-2",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1236-5p hsa-mir-1236",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1238-5p hsa-mir-1238",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-5p hsa-mir-124-1",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-124-5p hsa-mir-124-2",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-124-5p hsa-mir-124-3",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-1243 hsa-mir-1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"hsa-miR-1245b-5p hsa-mir-1245b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1246 hsa-mir-1246",14606,1671,9427,2052,75696,16468,1287,9548,18667,36793,442,125661,6017,5246,52228,13224,107749,10464,3893,8812,16908,6407,4772,19268,120670,33615,33821,15916,42216,217618,4531,3825,6863,12361,25277,49620,4622,23404,28952,9645,1020,5192,10214
"hsa-miR-1248 hsa-mir-1248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1249-5p hsa-mir-1249",0,29,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,41,14,0,24,0,0,0,0,0,0,43,0,0,0,0,0,18,0
"hsa-miR-1250-5p hsa-mir-1250",88,17,0,0,12,30,53,0,19,85,0,0,36,22,76,0,0,9,21,40,0,0,36,20,0,11,88,0,13,0,1,0,0,99,0,113,19,64,16,0,32,0,2
"hsa-miR-1251-5p hsa-mir-1251",0,16,0,0,0,0,26,0,0,0,0,0,0,0,0,24,0,10,0,0,0,24,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"hsa-miR-1252-5p hsa-mir-1252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1253 hsa-mir-1253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1255a hsa-mir-1255a",0,0,0,0,0,16,0,14,0,0,0,0,20,6,0,0,0,8,0,18,0,0,18,11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1255b-5p hsa-mir-1255b-1",16,0,178,6,29,48,0,176,219,88,1,34,137,12,104,11,37,88,32,153,8,3,97,35,13,15,46,0,17,212,0,234,61,0,16,1,28,158,18,7,36,30,0
"hsa-miR-1255b-5p hsa-mir-1255b-2",16,0,178,6,29,48,0,176,219,88,1,34,137,12,104,11,37,88,32,153,8,3,77,35,13,15,46,0,17,212,0,234,61,0,16,1,28,158,18,7,36,30,0
"hsa-miR-1256 hsa-mir-1256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,21,1
"hsa-miR-1257 hsa-mir-1257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-125a-5p hsa-mir-125a",3430,3652,961,1324,3685,9577,4243,5502,7555,2149,1880,4815,5178,1367,11114,2898,1042,5279,3025,21236,2475,3911,9432,4754,2460,3444,1872,510,3237,988,1592,2613,2020,1428,6629,3191,12636,5645,2791,269,2363,3607,6703
"hsa-miR-125b-5p hsa-mir-125b-1",2048,2408,196,689,872,1197,3430,921,2074,1513,780,4092,1870,583,4917,2296,2374,2475,1142,6105,840,4361,3805,1547,7064,1039,1262,104,3330,3271,746,162,882,318,1193,1212,1087,5332,1780,150,649,1049,2385
"hsa-miR-125b-5p hsa-mir-125b-2",2048,2411,196,689,872,1197,3432,921,2074,1513,780,4092,1862,583,4917,2271,2374,2475,1142,6105,840,4362,3805,1547,7064,1012,1262,104,3301,3271,746,162,882,318,1193,1212,1087,5324,1780,150,649,1049,2386
"hsa-miR-126-5p hsa-mir-126",464,599,47,349,172,201,654,118,246,296,90,360,330,93,361,997,667,1596,290,1271,842,581,528,482,796,741,144,34,2557,65,38,1,310,55,400,1373,489,932,361,5,106,323,997
"hsa-miR-1260a hsa-mir-1260a",469,5499,197,779,1106,2908,5631,2013,3593,699,813,1621,976,904,3527,3025,635,1060,1586,5292,9486,1850,1015,1430,1313,3471,1279,430,5241,509,3456,1759,1566,834,639,5895,930,1477,528,348,321,1261,3930
"hsa-miR-1260b hsa-mir-1260b",553,3547,330,742,1930,3990,5073,3409,4631,1045,840,3794,1189,1275,4163,3579,877,901,2033,4774,10808,2261,1123,1926,1110,4578,1495,544,6989,576,3668,2547,1911,930,549,7728,1733,1702,754,392,389,1845,4009
