"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-miR-376b-5p hsa-mir-376b",0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,3,0,0,13,0,0,2,0,0,19,0,0,0,0,0,6,5,0,0,0,1,4
"hsa-miR-376c-5p hsa-mir-376c",0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,3,0,0,13,0,0,2,0,0,19,0,0,0,0,0,13,5,0,0,0,10,4
"hsa-miR-377-5p hsa-mir-377",29,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,24,9,0,11,0,11,15,0,0,0,23,0,2,13,0,0,0,0,18,21,13,0,0,0,0,0,25
"hsa-miR-378a-5p hsa-mir-378a",118,378,62,82,40,44,107,99,43,166,0,105,97,22,165,219,122,63,117,184,150,51,133,18,94,138,137,7,234,58,25,45,1,90,149,516,43,97,167,7,51,76,264
"hsa-miR-378b hsa-mir-378b",6,1,3,1,1,0,3,1,3,1,0,0,0,1,1,1,0,2,1,3,1,0,0,0,0,0,2,0,1,1,2,1,1,1,3,0,0,0,5,0,0,5,0
"hsa-miR-378c hsa-mir-378c",11344,4554,6412,1208,4083,1968,1922,2934,3550,9357,1033,3759,2760,982,3419,2603,5340,4495,3532,4611,2494,387,12494,2516,1984,4233,10710,623,8116,3639,2633,4039,863,3204,6025,5871,2741,5573,5038,1500,542,6354,4535
"hsa-miR-378d hsa-mir-378d-1",483,32,332,18,171,69,14,147,187,300,8,165,151,47,188,47,383,54,118,45,19,5,53,99,49,224,397,27,360,143,28,160,5,130,273,338,89,335,249,29,8,316,24
"hsa-miR-378d hsa-mir-378d-2",478,34,336,19,171,68,15,144,184,302,8,167,143,47,188,49,421,47,116,43,35,5,28,101,46,234,394,26,368,139,22,152,6,140,269,347,91,338,242,34,7,308,26
"hsa-miR-378g hsa-mir-378g",67,8,18,5,66,19,2,5,90,53,1,32,23,1,7,8,42,34,100,67,9,29,33,62,5,13,20,2,16,17,8,6,1,19,50,20,44,66,47,3,1,6,6
"hsa-miR-378h hsa-mir-378h",31,5,9,2,12,6,2,10,8,32,4,13,5,1,3,2,11,13,8,9,4,0,28,6,6,10,14,2,10,10,7,13,2,9,16,13,5,9,12,2,2,9,6
"hsa-miR-378i hsa-mir-378i",11716,4451,6687,1145,4086,1995,1815,3324,3604,9523,853,4043,3043,1045,3649,3017,5472,4112,4030,4294,2316,373,12849,2762,2395,4881,11308,618,9031,3850,2489,4257,843,3484,6538,7075,3060,5922,5155,1537,508,7013,4192
"hsa-miR-378j hsa-mir-378j",2,0,1,0,1,23,0,0,0,20,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,4,0,0,3,0
"hsa-miR-379-5p hsa-mir-379",289,205,56,67,2022,438,128,653,549,495,1,276,219,34,157,86,810,2248,281,1240,131,204,290,161,57,618,349,21,364,79,190,303,2,253,1213,718,1209,275,86,70,46,346,378
"hsa-miR-380-5p hsa-mir-380",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0
"hsa-miR-381-5p hsa-mir-381",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"hsa-miR-382-5p hsa-mir-382",862,204,221,56,2960,2582,89,2016,1346,915,247,1463,310,263,785,210,1160,4105,564,2608,493,402,715,721,200,765,483,94,341,685,724,1070,135,864,1646,1222,3987,1007,334,823,135,1815,343
"hsa-miR-383-5p hsa-mir-383",18,15,0,0,0,0,69,0,0,0,0,0,15,0,0,33,0,0,0,0,0,12,13,20,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"hsa-miR-3908 hsa-mir-3908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
